"name","year","count"
"MAX","2014","21"
"LOLA","2014","18"
"COCO","2014","15"
"ROCKY","2014","14"
"SASHA","2014","13"
"LUCY","2014","13"
"BELLA","2014","13"
"CHARLIE","2014","12"
"BUDDY","2014","12"
"ZOEY","2014","9"
"MAGGIE","2014","8"
"MOLLY","2014","8"
"OSCAR","2014","8"
"LILY","2014","8"
"LUNA","2014","7"
"SAMMY","2014","7"
"STELLA","2014","7"
"SHADOW","2014","7"
"DAISY","2014","7"
"NAME NOT PROVIDED","2014","7"
"TUCKER","2014","6"
"SAM","2014","6"
"OLIVER","2014","6"
"ANGEL","2014","6"
"BLUE","2014","6"
"COOPER","2014","6"
"LULU","2014","6"
"MURPHY","2014","6"
"PRINCESS","2014","6"
"SPARKY","2014","6"
"CODY","2014","6"
"BEAR","2014","6"
"MIA","2014","6"
"LEXI","2014","5"
"ROSIE","2014","5"
"RUBY","2014","5"
"SOPHIE","2014","5"
"BAILEY","2014","5"
"RUSTY","2014","5"
"HARLEY","2014","5"
"CHLOE","2014","5"
"PENNY","2014","5"
"LEO","2014","5"
"ZOE","2014","5"
"REX","2014","5"
"CHEWY","2014","5"
"MAYA","2014","4"
"JACK","2014","4"
"LILLY","2014","4"
"SIMBA","2014","4"
"BODHI","2014","4"
"NALA","2014","4"
"JASPER","2014","4"
"HANNAH","2014","4"
"BAXTER","2014","4"
"BENTLEY","2014","4"
"GEORGE","2014","4"
"SCOOBY","2014","4"
"OTIS","2014","4"
"HAZEL","2014","4"
"PEPPER","2014","4"
"TOBY","2014","4"
"SCOUT","2014","4"
"CHASE","2014","4"
"TEDDY","2014","4"
"WINSTON","2014","4"
"GRACIE","2014","4"
"COOKIE","2014","4"
"BUSTER","2014","4"
"MILO","2014","4"
"LUCKY","2014","4"
"LEROY","2014","4"
"RANGER","2014","4"
"APOLLO","2014","4"
"PENELOPE","2014","3"
"ANNIE","2014","3"
"CHARLEY","2014","3"
"GRETZKY","2014","3"
"ELLA","2014","3"
"RILEY","2014","3"
"BENJAMIN","2014","3"
"LADY","2014","3"
"SADIE","2014","3"
"LOKI","2014","3"
"DUKE","2014","3"
"LOUIE","2014","3"
"JAKE","2014","3"
"ANDY","2014","3"
"SANDY","2014","3"
"OLLIE","2014","3"
"ELVIS","2014","3"
"BLU","2014","3"
"FINLEY","2014","3"
"BOOMER","2014","3"
"EMMA","2014","3"
"MINI","2014","3"
"BETTY","2014","3"
"BROWNIE","2014","3"
"WATSON","2014","3"
"GIGI","2014","3"
"BARKLEY","2014","3"
"HENRY","2014","3"
"MAXIMUS","2014","3"
"MILES","2014","3"
"DAKOTA","2014","3"
"BO","2014","3"
"GUS","2014","3"
"CARLY","2014","3"
"BELLE","2014","3"
"MR","2014","2"
"DARCY","2014","2"
"PEANUT","2014","2"
"SCOOTER","2014","2"
"KOKO","2014","2"
"NOLA","2014","2"
"YOSHI","2014","2"
"MELODY","2014","2"
"ONYX","2014","2"
"CONNOR","2014","2"
"DIZZY","2014","2"
"MABEL","2014","2"
"LUCAS","2014","2"
"DOTTIE","2014","2"
"JULIUS","2014","2"
"Q","2014","2"
"MOMO","2014","2"
"JOEY","2014","2"
"ROCCO","2014","2"
"MAXWELL","2014","2"
"JACOB","2014","2"
"MASON","2014","2"
"HERSHEY","2014","2"
"MIMI","2014","2"
"TALULLAH","2014","2"
"RIO","2014","2"
"WALLY","2014","2"
"BEANS","2014","2"
"KELLY","2014","2"
"MARLEY","2014","2"
"LEYLA","2014","2"
"FRANK","2014","2"
"DEXTER","2014","2"
"BENJI","2014","2"
"ACE","2014","2"
"MOLLIE","2014","2"
"COSMO","2014","2"
"LUCA","2014","2"
"RICKY","2014","2"
